LGA_NAME,INCIDENTS,POPULATION
ALPINE,272,12730.00
ARARAT,174,11795.00
BALLARAT,1345,107325.00
BANYULE,1094,130237.00
BASS COAST,399,35327.00
BAW BAW,927,52015.00
BAYSIDE,933,105718.00
BENALLA,226,14024.00
BENDIGO,1465,181289.00
BOROONDARA,1682,208714.00
BRIMBANK,2353,6184.00
BULOKE,102,37592.00
CAMPASPE,481,107120.00
CARDINIA,1153,340419.00
CASEY,3054,13209.00
CENTRAL GOLDFIELDS,147,21503.00
COLAC OTWAY,543,16140.00
CORANGAMITE,273,161609.00
DANDENONG,2557,46818.00
DAREBIN,1827,141845.00
EAST GIPPSLAND,758,10547.00
FRANKSTON,1287,153858.00
GANNAWARRA,147,19665.00
GEELONG,2813,23120.00
GLEN EIRA,1519,116045.00
GLENELG,259,166094.00
GOLDEN PLAINS,348,252217.00
HEPBURN,253,66007.00
HINDMARSH,67,15812.00
HOBSONS BAY,1028,5645.00
HORSHAM,238,96470.00
HUME,2389,19875.00
INDIGO,264,224394.00
KINGSTON,1844,16490.00
KNOX,1533,163431.00
LATROBE,839,163203.00
LODDON,153,75211.00
MACEDON RANGES,590,7513.00
MANNINGHAM,942,49388.00
MANSFIELD,321,125508.00
MARIBYRNONG,1045,8979.00
MAROONDAH,1132,91387.00
MELBOURNE,4236,117498.00
MELTON,1248,169961.00
MILDURA,614,156713.00
MITCHELL,735,55515.00
MOIRA,354,44299.00
MONASH,2217,29799.00
MOONEE VALLEY,1246,200077.00
MOORABOOL,509,127883.00
MORELAND,2190,34158.00
MORNINGTON PENINSULA,1509,181725.00
MOUNT ALEXANDER,227,165822.00
MOUNT BULLER ALPINE RESOR,1,19514.00
MOYNE,274,16887.00
MURRINDINDI,613,14478.00
NILLUMBIK,694,64941.00
NORTHERN GRAMPIANS,196,11431.00
PORT PHILLIP,1546,113200.00
PYRENEES,166,7353.00
QUEENSCLIFFE,10,2982.00
SHEPPARTON,855,29576.00
SOUTH GIPPSLAND,519,16135.00
SOUTHERN GRAMPIANS,188,116207.00
STONNINGTON,1625,10645.00
STRATHBOGIE,239,32251.00
SURF COAST,466,20759.00
SWAN HILL,250,6054.00
TOWONG,177,889.00
WANGARATTA,360,29087.00
WARRNAMBOOL,307,34862.00
WELLINGTON,702,44019.00
WEST WIMMERA,64,3862.00
WHITEHORSE,1532,176196.00
WHITTLESEA,2151,223322.00
WODONGA,322,41429.00
WYNDHAM,1664,255322.00
YARRA,1803,98521.00
YARRA RANGES,2164,158173.00
YARRIAMBIACK,51,6658.00
