LGA_NAME,Number of Incidents
MELBOURNE,4236
WHITEHORSE,1532
BRIMBANK,2353
MITCHELL,735
BAW BAW,927
BAYSIDE,933
BOROONDARA,1682
BANYULE,1094
HUME,2389
WHITTLESEA,2151
GEELONG,2813
HOBSONS BAY,1028
NILLUMBIK,694
PORT PHILLIP,1546
DAREBIN,1827
YARRA,1803
LATROBE,839
MOONEE VALLEY,1246
KNOX,1533
CASEY,3054
BENDIGO,1465
FRANKSTON,1287
EAST GIPPSLAND,758
KINGSTON,1844
MAROONDAH,1132
BALLARAT,1345
CAMPASPE,481
SHEPPARTON,855
MILDURA,614
DANDENONG,2557
MONASH,2217
GOLDEN PLAINS,348
MORNINGTON PENINSULA,1509
WYNDHAM,1664
CORANGAMITE,273
BASS COAST,399
MURRINDINDI,613
STONNINGTON,1625
MORELAND,2190
MOORABOOL,509
YARRA RANGES,2164
MARIBYRNONG,1045
STRATHBOGIE,239
CARDINIA,1153
TOWONG,177
WANGARATTA,360
MELTON,1248
SURF COAST,466
SOUTH GIPPSLAND,519
HEPBURN,253
SOUTHERN GRAMPIANS,188
GLEN EIRA,1519
BENALLA,226
MOYNE,274
COLAC OTWAY,543
MACEDON RANGES,590
MOIRA,354
WELLINGTON,702
WEST WIMMERA,64
MANSFIELD,321
LODDON,153
WODONGA,322
INDIGO,264
HORSHAM,238
MANNINGHAM,942
NORTHERN GRAMPIANS,196
PYRENEES,166
ALPINE,272
BULOKE,102
GANNAWARRA,147
ARARAT,174
WARRNAMBOOL,307
GLENELG,259
SWAN HILL,250
HINDMARSH,67
(FALLS CREEK),15
MOUNT ALEXANDER,227
CENTRAL GOLDFIELDS,147
(MOUNT BULLER),10
(MOUNT HOTHAM),22
YARRIAMBIACK,51
(LAKE MOUNTAIN),13
(MOUNT BAW BAW),5
QUEENSCLIFFE,10
MOUNT BULLER ALPINE RESOR,1
(FRENCH ISLAND),1
(MOUNT STIRLING),1
